SEER FISHES,Flounders 87,2015,,
Scomberomorus commersoni 39362,Soles 41535,2015,,
Scomberomorus guttatus 16276,Crustaceans,2015,,
Acanthocybium spp. 466,Penaeid prawns 199195,2015,,
TUNNIES,Non-penaeid prawns 149101,2015,,
Euthynnus affinis 35858,Lobsters 2003,2015,,
Auxis spp. 8176,Crabs 47464,2015,,
Katsuwonus pelamis 8302,Stomatopods 25694,2015,,
Thunnus tonggol 9207,Molluscs,2015,,
Thunnus albacares 15554,"Mussels, Oysters and Clams 92513#",2015,,
Other tunnies 1373,Other Bivalves 5627,2015,,
BILL FISHES 12033,Gastropods 2244,2015,,
BARRACUDAS 30065,Cephalopods,2015,,
MULLETS 7954,Squids 94222,2015,,
UNICORN COD 256,Cuttlefish 107846,2015,,
Others,Octopus 11409,2015,,
Seaweeds 18650#,MISCELLANEOUS 67214,2015,,
,Total 3515934,2015,,
"#The estimates are based on an alternate method and are excluded from the comparisons
made. The comparisons are based on 3404771 tonnes (3515934-111163=3404771)",,2015,,
"ch most
sardine, 5%
ve been 13%
s as in
Pelagic
The fin
Demersal
primarily Crustacean
56%
26%
parts of Mollusc
emersal
d to over
owed by Components of marine fish landings",,,,
Pelagic finfish,,,Demersal finfish,
Group,2013,,Group,2013
CLUPEOIDS,,,ELASMOBRANCHS,
Wolf herring,20994,,Sharks,21138
Oil sardine,595392,,Skates,2347
Other sardines,159580,,Rays,22986
Hilsa shad,41448,,EELS,10145
Other shads,14641,,CATFISHES,89141
Coilia,30767,,LIZARD FISHES,56121
Setipinna,8507,,PERCHES,
Stolephorus,69481,,Rock cods,44487
Thryssa,42351,,Snappers,6634
Other clupeids,71424,,Pig-face breams,10724
BOMBAYDUCK,124509,,Threadfin breams,182541
HALF BEAKS & FULL BEAKS,4305,,Other perches,65568
FLYING FISHES,2149,,GOATFISHES,25142
RIBBON FISHES,252179,,THREADFINS,12375
CARANGIDS,,,CROAKERS,177395
Horse Mackerel,36313,,SILVERBELLIES,121117
Scads,127935,,WHITEFISH,7269
Leather-jackets,14488,,POMFRETS,
Other carangids,69600,,Black pomfret,18449
MACKERELS,,,Silver pomfret,30416
Indian mackerel,199880,,Chinese pomfret,4794
Other mackerels,338,,FLAT FISHES,
SEER FISHES,,,Halibut,1492
Scomberomorus commerson,27680,,Flounders,298
Scomberomorus guttatus,14008,,Soles,45055
Acanthocybium spp.,37,,Shellfish,
TUNNIES,,,Crustaceans,
Euthynnus affinis,39738,,Penaeid prawns,196942
Auxis spp.,7724,,Non-penaeid prawns,213474
Katsuwonus pelamis,7078,,Lobsters,1410
Thunnus tonggol,12643,,Crabs,44586
Other tunnies,18108,,Stomatopods,20650
BILL FISHES,9646,,Molluscs*,
BARRACUDAS,25269,,Cephalopods,
MULLETS,10856,,Squids,100014
UNICORN COD,892,,Cuttlefish,82964
,,,Octopus,6448
,,,Miscellaneous,99786
"* In addition 113858 t of bivalves
(Oysters, Mussels, Clams)",,,Total,3781868
"Goa
Threadfin breams
OthCeer psharadloinpeosds
Other caCraantfgiisdhses
TuTnunnineises
Croakers
Indian mackerel
Ribbonfishes
Oil sardine
0 10
0 x T4h0ou
x Tho","2012
2013
2012
2013
20 30 40
sands 80
usand tonnes",,,
